age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,predicted_pd,expected_loss,decision,risk_bucket,interest_rate_model
44,Employed,18.7,92711,671,0.8,3851,14546,0,0,0,Personal Loan,Personal,100000,12.14,0.157,1.079,0.36,1,0.62709683,28219.357430934906,0,"(0.604, 0.77]",0.46029037
37,Employed,4.7,48193,523,2.7,257,2464,0,0,0,Personal Loan,Education,64500,16.85,0.051,1.338,0.446,0,0.18016109,5229.17559966445,1,"(0.0578, 0.202]",0.15860873
18,Employed,0.0,18730,618,0.4,0,3908,0,0,0,Personal Loan,Debt Consolidation,7000,13.76,0.209,0.374,0.125,0,0.42164624,1328.185647726059,0,"(0.372, 0.604]",0.32161123
37,Employed,7.0,54983,744,7.2,399,6316,0,0,1,Personal Loan,Education,100000,10.27,0.115,1.819,0.606,1,0.8236825,37065.71191549301,0,"(0.77, 0.839]",0.5929857
26,Self-Employed,1.3,33606,675,1.4,258,3586,0,1,1,Personal Loan,Personal,23700,11.73,0.107,0.705,0.235,0,0.6316866,6736.937886178494,0,"(0.604, 0.77]",0.46338844
47,Student,0.0,15000,698,5.1,154,3399,0,0,0,Personal Loan,Home Improvement,25400,11.74,0.227,1.693,0.564,1,0.6544696,7480.587633848191,0,"(0.604, 0.77]",0.47876698
38,Employed,3.3,32568,640,10.8,3073,7636,1,1,0,Personal Loan,Education,11400,14.71,0.234,0.35,0.117,0,0.5559394,2851.969000697136,0,"(0.372, 0.604]",0.41225904
32,Employed,4.1,25546,570,7.4,18406,3482,0,0,0,Personal Loan,Education,20200,15.89,0.136,0.791,0.264,1,0.33261693,3023.4878504276276,1,"(0.202, 0.372]",0.26151642
20,Employed,1.3,26639,485,1.5,207,10305,0,0,0,Personal Loan,Home Improvement,16000,15.16,0.387,0.601,0.2,0,0.12703004,914.616322517395,1,"(0.0578, 0.202]",0.122745275
39,Employed,8.3,37923,595,18.5,895,20363,0,0,0,Personal Loan,Debt Consolidation,48300,16.66,0.537,1.274,0.425,0,0.11531935,2506.4660477265716,1,"(0.0578, 0.202]",0.11484056
34,Employed,14.2,63302,649,13.7,8611,17651,0,0,0,Personal Loan,Medical,56300,14.8,0.279,0.889,0.296,1,0.61050063,15467.033555209637,0,"(0.604, 0.77]",0.44908792
53,Employed,33.1,43747,702,26.7,642,7077,0,0,0,Personal Loan,Medical,38100,11.28,0.162,0.871,0.29,1,0.8384834,14375.797776281834,0,"(0.77, 0.839]",0.60297626
18,Employed,0.0,15000,613,1.9,59,6782,0,1,0,Personal Loan,Personal,9600,14.93,0.452,0.64,0.213,0,0.2664342,1150.9957122802734,1,"(0.202, 0.372]",0.21684307
52,Employed,7.8,63670,588,7.1,5227,10764,0,0,1,Personal Loan,Home Improvement,12400,16.07,0.169,0.195,0.065,0,0.30636564,1709.5202654600143,1,"(0.202, 0.372]",0.2437968
28,Employed,3.6,47789,643,2.5,2169,8286,0,0,0,Personal Loan,Medical,14500,13.09,0.173,0.303,0.101,1,0.4804199,3134.739873558283,0,"(0.372, 0.604]",0.36128342
36,Employed,13.6,84881,671,16.5,624,15127,0,0,0,Personal Loan,Medical,100000,12.25,0.178,1.178,0.393,1,0.7730994,34789.47401046753,0,"(0.77, 0.839]",0.5588421
46,Self-Employed,20.4,53989,707,2.0,111,7935,0,1,0,Personal Loan,Personal,22200,10.96,0.147,0.411,0.137,1,0.7744494,7736.749586462975,0,"(0.77, 0.839]",0.55975336
26,Employed,5.9,23965,620,3.0,310,8363,0,2,0,Personal Loan,Education,19700,13.82,0.349,0.822,0.274,1,0.46141523,4090.4460248351097,0,"(0.372, 0.604]",0.34845528
31,Employed,9.7,15000,656,3.0,8833,2723,0,0,0,Personal Loan,Medical,22100,12.07,0.182,1.473,0.491,1,0.63696367,6334.603653252126,0,"(0.604, 0.77]",0.46695048
38,Employed,1.1,51546,566,7.0,5034,10013,0,1,0,Personal Loan,Medical,22700,16.23,0.194,0.44,0.147,0,0.24071036,2458.856355920434,1,"(0.202, 0.372]",0.19947949
35,Self-Employed,2.1,78772,601,11.0,4079,11152,0,1,0,Personal Loan,Business,54100,13.28,0.142,0.687,0.229,1,0.59296113,14435.638771355154,0,"(0.372, 0.604]",0.43724877
33,Employed,11.3,61216,644,3.3,377,5894,0,0,0,Personal Loan,Medical,92500,13.56,0.096,1.511,0.504,0,0.36750013,15297.19275981188,1,"(0.202, 0.372]",0.28506258
39,Employed,6.4,45153,703,2.4,612,17032,0,0,1,Personal Loan,Education,75900,10.88,0.377,1.681,0.56,1,0.69352716,23687.420220673084,0,"(0.604, 0.77]",0.5051308
18,Employed,0.0,15000,630,0.1,3,3083,0,1,0,Personal Loan,Home Improvement,5800,14.28,0.206,0.387,0.129,0,0.41486862,1082.807106077671,0,"(0.372, 0.604]",0.31703633
34,Employed,5.2,26957,743,7.7,8220,10988,0,0,0,Personal Loan,Education,48300,11.01,0.408,1.792,0.597,1,0.7667946,16666.28110796213,0,"(0.604, 0.77]",0.55458635
32,Self-Employed,7.3,25622,638,2.8,71,2670,0,0,0,Personal Loan,Education,5600,14.34,0.104,0.219,0.073,1,0.52151316,1314.2131733894348,0,"(0.372, 0.604]",0.3890214
38,Employed,18.4,39184,684,19.5,4115,8599,0,0,0,Personal Loan,Personal,62100,11.29,0.219,1.585,0.528,1,0.7730994,21604.263360500336,0,"(0.77, 0.839]",0.5588421
34,Employed,0.2,57880,635,12.0,4071,9813,0,0,0,Personal Loan,Personal,53200,14.39,0.17,0.919,0.306,1,0.51201427,12257.621619701385,0,"(0.372, 0.604]",0.38260964
20,Employed,1.1,26435,641,0.8,18,5658,0,0,0,Personal Loan,Debt Consolidation,31300,13.1,0.214,1.184,0.395,0,0.2830264,3986.426804959774,1,"(0.202, 0.372]",0.22804281
24,Employed,4.8,20874,601,1.0,26,5259,0,0,0,Personal Loan,Personal,20000,14.71,0.252,0.958,0.319,1,0.45957425,4136.168271303177,0,"(0.372, 0.604]",0.3472126
51,Self-Employed,9.8,47304,657,25.1,2868,12139,0,0,0,Personal Loan,Medical,53200,11.05,0.257,1.125,0.375,1,0.7730994,18508.000173568726,0,"(0.77, 0.839]",0.5588421
28,Employed,1.4,43149,654,1.2,5764,18969,0,0,0,Personal Loan,Home Improvement,57800,12.55,0.44,1.34,0.447,0,0.46247151,12028.88410359621,0,"(0.372, 0.604]",0.34916827
40,Employed,18.1,66046,623,15.3,4843,7718,0,1,0,Personal Loan,Personal,100000,13.15,0.117,1.514,0.505,1,0.54199225,24389.651119709015,0,"(0.372, 0.604]",0.40284476
23,Employed,2.2,15177,698,3.0,11,2128,0,0,0,Personal Loan,Education,5400,12.46,0.14,0.356,0.119,1,0.74056786,1799.5799070596697,0,"(0.604, 0.77]",0.5368833
53,Employed,15.2,132904,484,24.3,3873,31171,0,2,0,Personal Loan,Home Improvement,100000,15.95,0.235,0.752,0.251,1,0.22253105,10013.897269964218,1,"(0.202, 0.372]",0.18720846
25,Employed,0.5,31555,569,5.4,750,6842,0,0,0,Personal Loan,Debt Consolidation,25800,16.46,0.217,0.818,0.273,0,0.18629754,2162.9143917560577,1,"(0.0578, 0.202]",0.16275084
44,Employed,3.7,116002,612,20.6,842,39433,0,1,0,Personal Loan,Education,100000,13.93,0.34,0.862,0.287,1,0.63628966,28633.03452730179,0,"(0.604, 0.77]",0.4664955
38,Student,1.2,26736,596,7.6,1296,5468,0,1,1,Personal Loan,Personal,20400,15.47,0.205,0.763,0.254,0,0.20850097,1914.0388718247416,1,"(0.202, 0.372]",0.17773814
26,Student,0.2,16409,653,7.5,550,4709,0,0,0,Personal Loan,Personal,5900,11.8,0.287,0.36,0.12,1,0.7624705,2024.359134435654,0,"(0.604, 0.77]",0.5516675
37,Employed,17.8,63252,584,1.0,309,22821,0,0,0,Personal Loan,Education,100000,15.47,0.361,1.581,0.527,0,0.17711775,7970.298752188683,1,"(0.0578, 0.202]",0.15655449
26,Employed,6.7,49978,555,6.4,143,12337,0,0,0,Personal Loan,Home Improvement,87500,15.32,0.247,1.751,0.584,0,0.23839931,9386.972906067967,1,"(0.202, 0.372]",0.19791953
42,Employed,3.7,86164,685,10.2,4052,17429,0,0,0,Personal Loan,Personal,66700,12.94,0.202,0.774,0.258,1,0.80590355,24189.19517219067,0,"(0.77, 0.839]",0.5809849
46,Self-Employed,4.4,115384,812,2.6,1013,19821,0,0,0,Personal Loan,Debt Consolidation,100000,8.52,0.172,0.867,0.289,1,0.78036255,35116.314589977264,0,"(0.77, 0.839]",0.5637447
32,Employed,5.0,21294,638,1.1,483,4083,0,1,0,Personal Loan,Business,37700,13.01,0.192,1.77,0.59,0,0.35346586,5996.548232138157,1,"(0.202, 0.372]",0.27558944
25,Employed,6.9,43332,641,6.0,424,6100,0,1,0,Personal Loan,Debt Consolidation,18300,13.6,0.141,0.422,0.141,0,0.5812273,4786.406836509705,0,"(0.372, 0.604]",0.4293284
34,Employed,8.9,43738,614,0.3,469,19176,0,2,0,Personal Loan,Education,52900,14.16,0.438,1.209,0.403,0,0.27887708,6638.668877184392,1,"(0.202, 0.372]",0.22524203
35,Employed,11.7,38327,649,7.0,1588,15569,1,0,0,Personal Loan,Personal,55700,13.95,0.406,1.453,0.484,0,0.385397,9659.975484162569,1,"(0.372, 0.604]",0.29714295
52,Employed,33.1,41742,650,19.6,936,13388,0,0,0,Personal Loan,Debt Consolidation,31000,11.57,0.321,0.743,0.248,1,0.79753953,11125.676473975183,0,"(0.77, 0.839]",0.57533914
67,Student,0.0,15841,676,1.2,443,951,1,4,0,Personal Loan,Business,30800,11.68,0.06,1.944,0.648,0,0.31969613,4430.988339185715,1,"(0.202, 0.372]",0.2527949
42,Employed,14.8,35161,701,6.7,428,5007,0,0,0,Personal Loan,Personal,7500,10.02,0.142,0.213,0.071,1,0.8369549,2824.7227594256406,0,"(0.77, 0.839]",0.6019445
40,Employed,8.6,15000,619,8.9,63,2278,0,2,1,Personal Loan,Personal,2900,13.87,0.152,0.193,0.064,1,0.5340503,696.9356229901314,0,"(0.372, 0.604]",0.39748394
40,Self-Employed,16.4,87153,747,21.9,340,51607,0,0,0,Personal Loan,Medical,100000,9.53,0.592,1.147,0.382,0,0.18924367,8515.965342521667,1,"(0.0578, 0.202]",0.16473947
34,Self-Employed,11.5,24398,652,4.1,1195,491,0,0,0,Personal Loan,Medical,23500,11.28,0.02,0.963,0.321,1,0.7086771,7494.260470569134,0,"(0.604, 0.77]",0.515357
36,Employed,15.4,27834,631,6.2,393,3211,0,0,0,Personal Loan,Debt Consolidation,3400,13.29,0.115,0.122,0.041,1,0.5985838,915.8332407474518,0,"(0.372, 0.604]",0.4410441
41,Self-Employed,15.2,74102,687,11.3,1873,22073,0,1,0,Personal Loan,Business,5100,12.22,0.298,0.069,0.023,1,0.8043194,1845.9129810333252,0,"(0.77, 0.839]",0.5799156
47,Employed,7.8,46386,653,6.7,3769,9579,0,1,0,Personal Loan,Personal,78200,11.03,0.207,1.686,0.562,1,0.7574026,26652.997453808784,0,"(0.604, 0.77]",0.54824674
23,Self-Employed,1.0,165877,615,4.1,3986,4810,0,1,0,Personal Loan,Home Improvement,76900,14.28,0.029,0.464,0.155,0,0.4144425,14341.783038228752,0,"(0.372, 0.604]",0.31674868
42,Self-Employed,12.4,49203,637,3.0,1307,11398,0,0,0,Personal Loan,Medical,9200,14.8,0.232,0.187,0.062,1,0.4804199,1988.9384025335312,0,"(0.372, 0.604]",0.36128342
25,Employed,7.0,37286,615,4.5,683,17408,0,2,0,Personal Loan,Business,9100,14.17,0.467,0.244,0.081,0,0.3016003,1235.0532580912113,1,"(0.202, 0.372]",0.2405802
32,Employed,6.5,38829,641,5.3,516,23885,0,1,0,Personal Loan,Debt Consolidation,35600,13.73,0.615,0.917,0.306,0,0.2643867,4235.475150346756,1,"(0.202, 0.372]",0.21546102
35,Self-Employed,3.2,126202,714,16.2,6166,10622,0,0,0,Personal Loan,Home Improvement,90300,10.98,0.084,0.716,0.239,1,0.83800036,34052.144512832165,0,"(0.77, 0.839]",0.6026502
43,Employed,0.3,78525,761,16.2,80,15963,0,0,0,Personal Loan,Business,80100,9.12,0.203,1.02,0.34,1,0.7665445,27630.097254216675,0,"(0.604, 0.77]",0.55441755
29,Employed,3.4,50149,558,9.6,671,34228,0,0,0,Personal Loan,Education,58700,16.9,0.683,1.171,0.39,0,0.13935283,3681.004958599806,1,"(0.0578, 0.202]",0.13106316
35,Employed,8.4,15000,705,8.9,265,3954,0,0,0,Personal Loan,Home Improvement,13600,10.87,0.264,0.907,0.302,1,0.8384834,5131.5183663368225,0,"(0.77, 0.839]",0.60297626
22,Employed,3.2,52767,630,0.8,261,36576,0,0,0,Personal Loan,Business,47200,13.38,0.693,0.894,0.298,0,0.25449637,5405.502809286118,1,"(0.202, 0.372]",0.20878504
26,Self-Employed,2.3,142171,631,4.7,149,15590,0,0,0,Personal Loan,Personal,100000,14.06,0.11,0.703,0.234,1,0.48276803,21724.56130385399,0,"(0.372, 0.604]",0.36286843
43,Employed,20.8,23079,685,4.6,653,11119,0,0,0,Personal Loan,Debt Consolidation,34600,12.24,0.482,1.499,0.5,0,0.48928463,7618.16176056862,0,"(0.372, 0.604]",0.36726713
60,Employed,15.0,56546,698,20.9,1676,7807,0,0,0,Personal Loan,Personal,31100,11.31,0.138,0.55,0.183,1,0.80880934,11319.286713302135,0,"(0.77, 0.839]",0.5829463
27,Employed,0.8,24370,581,1.9,101,3795,0,2,0,Personal Loan,Business,33100,16.26,0.156,1.358,0.453,0,0.08929461,1330.043251812458,1,"(0.0578, 0.202]",0.097273864
45,Employed,0.1,122926,785,23.9,4700,25036,0,0,0,Personal Loan,Education,38600,9.74,0.204,0.314,0.105,1,0.817776,14204.769542813301,0,"(0.77, 0.839]",0.5889988
33,Student,1.3,15000,657,11.4,278,3445,0,0,0,Personal Loan,Personal,7000,12.75,0.23,0.467,0.156,1,0.77124834,2429.432272911072,0,"(0.77, 0.839]",0.55759263
45,Employed,24.4,42377,685,25.6,7223,16640,0,0,0,Personal Loan,Personal,55300,12.41,0.393,1.305,0.435,1,0.7082532,17624.881002008915,0,"(0.604, 0.77]",0.5150709
27,Employed,6.8,65029,690,2.5,1039,18959,0,0,0,Personal Loan,Education,69700,11.57,0.292,1.072,0.357,1,0.6586341,20658.05936783552,0,"(0.604, 0.77]",0.48157802
56,Self-Employed,18.6,143949,676,13.0,1428,47565,0,0,0,Personal Loan,Home Improvement,25900,11.75,0.33,0.18,0.06,1,0.80590355,9392.805921435356,0,"(0.77, 0.839]",0.5809849
46,Employed,15.0,28221,572,16.6,5414,2796,0,0,1,Personal Loan,Business,52000,15.74,0.099,1.843,0.614,0,0.24510993,5735.572376847267,1,"(0.202, 0.372]",0.2024492
60,Employed,1.4,90611,747,5.4,357,5792,0,0,1,Personal Loan,Business,100000,10.13,0.064,1.104,0.368,0,0.76168555,34275.849759578705,0,"(0.604, 0.77]",0.55113775
40,Employed,9.5,103871,594,8.9,1188,26018,0,1,0,Personal Loan,Education,59500,15.47,0.25,0.573,0.191,0,0.3351172,8972.762791067362,1,"(0.202, 0.372]",0.2632041
23,Employed,0.2,25520,489,2.5,80,4577,0,0,1,Personal Loan,Personal,9900,15.96,0.179,0.388,0.129,0,0.16440105,732.4066972732545,1,"(0.0578, 0.202]",0.1479707
34,Employed,11.0,45694,625,14.9,606,15783,0,1,0,Personal Loan,Home Improvement,28100,13.98,0.345,0.615,0.205,1,0.6041209,7639.108909070493,0,"(0.604, 0.77]",0.4447816
22,Self-Employed,1.0,20338,627,3.4,1473,10590,0,0,0,Personal Loan,Home Improvement,35500,13.91,0.521,1.746,0.582,0,0.17006175,2716.736491397023,1,"(0.0578, 0.202]",0.15179169
35,Self-Employed,10.7,75946,602,5.4,5505,44078,0,0,0,Personal Loan,Medical,41400,14.76,0.58,0.545,0.182,0,0.2605878,4854.750927686691,1,"(0.202, 0.372]",0.21289676
23,Employed,1.3,20105,645,1.7,189,10943,0,0,0,Personal Loan,Debt Consolidation,4700,14.28,0.544,0.234,0.078,0,0.27748162,586.873616874218,1,"(0.202, 0.372]",0.22430009
35,Employed,5.2,28097,646,7.1,1607,6975,0,0,0,Personal Loan,Personal,2800,13.94,0.248,0.1,0.033,1,0.60123664,757.5581681728364,0,"(0.372, 0.604]",0.44283473
60,Employed,2.8,169761,578,8.6,7396,59979,1,0,0,Personal Loan,Education,100000,15.63,0.353,0.589,0.196,0,0.26602775,11971.24868631363,1,"(0.202, 0.372]",0.21656874
18,Employed,0.0,57058,661,0.7,15,11797,0,0,0,Personal Loan,Personal,100000,12.49,0.207,1.753,0.584,0,0.5337207,24017.430245876312,0,"(0.372, 0.604]",0.39726144
42,Employed,0.0,33419,693,0.5,60,4395,0,0,0,Personal Loan,Business,64800,11.19,0.132,1.939,0.646,0,0.5337207,15563.29479932785,0,"(0.372, 0.604]",0.39726144
38,Employed,8.6,36542,586,7.1,1576,8128,1,0,1,Personal Loan,Business,72100,15.53,0.222,1.973,0.658,0,0.19214366,6234.101170822979,1,"(0.0578, 0.202]",0.16669697
32,Student,1.8,19581,649,3.9,43,388,0,0,0,Personal Loan,Personal,34400,14.45,0.02,1.757,0.586,0,0.30049533,4651.667654514313,1,"(0.202, 0.372]",0.23983434
45,Student,0.3,59821,736,14.9,229,35486,0,0,0,Personal Loan,Medical,30700,11.12,0.593,0.513,0.171,0,0.19010273,2626.269162744284,1,"(0.0578, 0.202]",0.16531934
42,Employed,1.7,91512,646,4.7,248,18030,0,1,0,Personal Loan,Education,83200,14.12,0.197,0.909,0.303,1,0.44680727,16728.464012145996,0,"(0.372, 0.604]",0.33859488
34,Employed,6.9,20804,583,15.3,789,4176,0,0,0,Personal Loan,Medical,23500,16.57,0.201,1.13,0.377,0,0.24510993,2592.0375164598227,1,"(0.202, 0.372]",0.2024492
36,Student,0.3,18506,601,8.9,1210,4207,0,2,0,Personal Loan,Medical,21700,14.35,0.227,1.173,0.391,0,0.4048395,3953.257579654455,0,"(0.372, 0.604]",0.31026664
27,Employed,1.7,31047,751,3.2,1195,6737,0,0,0,Personal Loan,Home Improvement,51700,9.42,0.217,1.665,0.555,1,0.6644565,15458.580163121223,0,"(0.604, 0.77]",0.48550814
32,Employed,12.5,76411,693,13.1,271,13751,0,1,1,Personal Loan,Debt Consolidation,69800,11.35,0.18,0.913,0.304,1,0.8043194,25263.67177963257,0,"(0.77, 0.839]",0.5799156
44,Employed,20.1,80023,698,16.3,2340,34494,0,2,1,Personal Loan,Medical,38400,11.45,0.431,0.48,0.16,1,0.69820803,12065.034828186035,0,"(0.604, 0.77]",0.5082904
35,Self-Employed,9.5,84018,550,6.8,3146,20868,0,0,0,Personal Loan,Home Improvement,81700,15.58,0.248,0.972,0.324,1,0.26676,9807.431092858315,1,"(0.202, 0.372]",0.217063
38,Employed,7.5,34372,571,6.4,261,12911,0,2,1,Personal Loan,Medical,36400,16.53,0.376,1.059,0.353,0,0.17270799,2828.9568731188774,1,"(0.0578, 0.202]",0.1535779
33,Employed,4.0,15000,655,8.2,30,9548,0,0,0,Personal Loan,Education,7500,13.0,0.637,0.5,0.167,0,0.23846242,804.8106618225574,1,"(0.202, 0.372]",0.19796212
25,Self-Employed,1.5,59256,536,4.2,4911,20812,0,1,0,Personal Loan,Business,13500,15.23,0.351,0.228,0.076,0,0.18660246,1133.6099345237017,1,"(0.0578, 0.202]",0.16295666
22,Employed,2.2,33678,564,2.1,789,9662,0,3,1,Personal Loan,Education,26300,15.89,0.287,0.781,0.26,0,0.19046243,2254.122804030776,1,"(0.0578, 0.202]",0.16556214
42,Employed,7.2,59354,713,21.0,17555,19148,0,0,0,Personal Loan,Home Improvement,66200,10.14,0.323,1.115,0.372,1,0.82519376,24582.522193193436,0,"(0.77, 0.839]",0.59400576
31,Employed,7.4,58096,620,0.2,24,6654,0,0,0,Personal Loan,Education,50400,13.24,0.115,0.868,0.289,1,0.5090951,11546.276249885559,0,"(0.372, 0.604]",0.38063917
39,Student,0.4,15000,707,9.3,142,8956,0,0,0,Personal Loan,Personal,4700,10.97,0.597,0.313,0.104,0,0.20410207,431.6758762300015,1,"(0.202, 0.372]",0.1747689
28,Employed,5.7,39309,701,8.3,1655,6973,0,0,0,Personal Loan,Medical,47000,10.22,0.177,1.196,0.399,1,0.82519376,17452.848082780838,0,"(0.77, 0.839]",0.59400576
28,Self-Employed,3.0,59261,555,5.5,73,15226,0,0,0,Personal Loan,Home Improvement,7000,15.07,0.257,0.118,0.039,0,0.28256828,890.0900691747667,1,"(0.202, 0.372]",0.22773358
29,Employed,3.6,21224,773,11.0,188,6315,0,0,0,Personal Loan,Personal,16300,8.95,0.298,0.768,0.256,1,0.8384834,6150.275689065456,0,"(0.77, 0.839]",0.60297626
32,Employed,0.4,24321,673,2.9,1636,12763,0,2,0,Personal Loan,Education,1600,11.87,0.525,0.066,0.022,0,0.25722006,185.1984429359436,1,"(0.202, 0.372]",0.21062353
45,Self-Employed,15.5,76555,631,3.5,402,38166,0,1,1,Personal Loan,Business,100000,15.0,0.499,1.306,0.435,0,0.22106549,9947.94711470604,1,"(0.202, 0.372]",0.1862192
34,Self-Employed,1.9,111424,594,1.7,309,49724,0,0,0,Personal Loan,Personal,100000,16.49,0.446,0.897,0.299,0,0.11561609,5202.724076807499,1,"(0.0578, 0.202]",0.11504086
38,Student,1.5,31189,587,18.6,442,11582,0,0,0,Personal Loan,Personal,29600,16.44,0.371,0.949,0.316,0,0.19918482,2653.1418031454086,1,"(0.0578, 0.202]",0.17144975
53,Employed,20.2,61403,724,2.6,24,12891,0,0,0,Personal Loan,Personal,44100,10.92,0.21,0.718,0.239,1,0.78036255,15486.294734179974,0,"(0.77, 0.839]",0.5637447
35,Employed,4.9,49580,596,9.0,120,13709,0,0,0,Personal Loan,Medical,64700,16.33,0.277,1.305,0.435,0,0.24510993,7136.375630423427,1,"(0.202, 0.372]",0.2024492
35,Employed,8.2,28224,679,15.4,4637,6756,0,1,0,Personal Loan,Personal,50900,12.83,0.239,1.803,0.601,1,0.77132356,17667.16618001461,0,"(0.77, 0.839]",0.55764335
40,Employed,3.5,66002,613,17.5,1683,18247,0,1,0,Personal Loan,Personal,100000,14.61,0.276,1.515,0.505,1,0.54199225,24389.651119709015,0,"(0.372, 0.604]",0.40284476
52,Employed,9.6,61681,721,11.4,9322,19616,0,0,0,Personal Loan,Home Improvement,22400,11.16,0.318,0.363,0.121,1,0.8384834,8451.912603378296,0,"(0.77, 0.839]",0.60297626
46,Student,0.4,18148,597,23.5,213,10104,0,2,0,Personal Loan,Personal,27000,15.6,0.557,1.488,0.496,0,0.08595403,1044.3414989858866,1,"(0.0578, 0.202]",0.09501897
60,Employed,14.4,31759,626,17.2,7483,3205,0,0,0,Personal Loan,Education,27500,13.96,0.101,0.866,0.289,1,0.6386228,7902.957402169705,0,"(0.604, 0.77]",0.4680704
24,Student,0.6,21098,707,5.3,572,2528,0,0,0,Personal Loan,Home Improvement,26500,10.88,0.12,1.256,0.419,1,0.7304524,8710.645088553429,0,"(0.604, 0.77]",0.5300554
36,Employed,10.6,33379,734,7.3,15589,6567,0,0,0,Personal Loan,Business,64700,11.32,0.197,1.938,0.646,1,0.8223014,23941.304905414585,0,"(0.77, 0.839]",0.5920534
40,Employed,2.9,66334,650,15.1,907,16353,0,0,0,Personal Loan,Medical,6500,11.54,0.247,0.098,0.033,1,0.7951635,2325.8532732725143,0,"(0.77, 0.839]",0.57373536
49,Employed,15.9,40885,819,15.6,65,5733,0,0,0,Personal Loan,Home Improvement,78200,9.25,0.14,1.913,0.638,1,0.82519376,29038.56851220131,0,"(0.77, 0.839]",0.59400576
18,Self-Employed,1.0,54344,578,0.1,33,3102,1,3,0,Personal Loan,Business,69900,15.07,0.057,1.286,0.429,0,0.08437651,2654.0630121901636,1,"(0.0578, 0.202]",0.09395414
49,Employed,3.6,46401,759,28.9,11946,5256,0,0,0,Personal Loan,Medical,80000,8.36,0.113,1.724,0.575,1,0.82519376,29706.97546005249,0,"(0.77, 0.839]",0.59400576
35,Employed,11.2,38903,569,6.0,65,6142,0,1,0,Personal Loan,Business,60200,15.66,0.158,1.547,0.516,0,0.22238132,6024.310055673123,1,"(0.202, 0.372]",0.18710738
29,Employed,8.8,22220,585,6.8,4261,2985,0,4,0,Personal Loan,Medical,22900,16.14,0.134,1.031,0.344,0,0.18688811,1925.882010832429,1,"(0.0578, 0.202]",0.16314948
22,Self-Employed,1.0,71922,569,3.2,501,20413,0,1,1,Personal Loan,Debt Consolidation,46000,16.06,0.284,0.64,0.213,0,0.13380931,2769.8527827858925,1,"(0.0578, 0.202]",0.12732127
36,Employed,3.4,26914,667,5.2,1735,12545,0,1,0,Personal Loan,Education,26200,11.59,0.466,0.973,0.324,1,0.6453137,7608.248289227487,0,"(0.604, 0.77]",0.47258672
21,Student,0.1,16228,582,0.7,36,4189,0,0,0,Personal Loan,Education,4200,16.74,0.258,0.259,0.086,1,0.23384699,441.9708153605461,1,"(0.202, 0.372]",0.19484672
36,Employed,9.7,66950,563,6.5,1372,4847,0,2,0,Personal Loan,Personal,64700,16.71,0.072,0.966,0.322,1,0.21291013,6198.87845300138,1,"(0.202, 0.372]",0.18071434
