age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
26,Self-Employed,1.3,33606,675,1.4,258,3586,0,1,1,Personal Loan,Personal,23700,11.73,0.107,0.705,0.235,0
47,Student,0.0,15000,698,5.1,154,3399,0,0,0,Personal Loan,Home Improvement,25400,11.74,0.227,1.693,0.564,1
38,Employed,3.3,32568,640,10.8,3073,7636,1,1,0,Personal Loan,Education,11400,14.71,0.234,0.35,0.117,0
32,Employed,4.1,25546,570,7.4,18406,3482,0,0,0,Personal Loan,Education,20200,15.89,0.136,0.791,0.264,1
20,Employed,1.3,26639,485,1.5,207,10305,0,0,0,Personal Loan,Home Improvement,16000,15.16,0.387,0.601,0.2,0
39,Employed,8.3,37923,595,18.5,895,20363,0,0,0,Personal Loan,Debt Consolidation,48300,16.66,0.537,1.274,0.425,0
34,Employed,14.2,63302,649,13.7,8611,17651,0,0,0,Personal Loan,Medical,56300,14.8,0.279,0.889,0.296,1
53,Employed,33.1,43747,702,26.7,642,7077,0,0,0,Personal Loan,Medical,38100,11.28,0.162,0.871,0.29,1
18,Employed,0.0,15000,613,1.9,59,6782,0,1,0,Personal Loan,Personal,9600,14.93,0.452,0.64,0.213,0
52,Employed,7.8,63670,588,7.1,5227,10764,0,0,1,Personal Loan,Home Improvement,12400,16.07,0.169,0.195,0.065,0
28,Employed,3.6,47789,643,2.5,2169,8286,0,0,0,Personal Loan,Medical,14500,13.09,0.173,0.303,0.101,1
36,Employed,13.6,84881,671,16.5,624,15127,0,0,0,Personal Loan,Medical,100000,12.25,0.178,1.178,0.393,1
46,Self-Employed,20.4,53989,707,2.0,111,7935,0,1,0,Personal Loan,Personal,22200,10.96,0.147,0.411,0.137,1
26,Employed,5.9,23965,620,3.0,310,8363,0,2,0,Personal Loan,Education,19700,13.82,0.349,0.822,0.274,1
31,Employed,9.7,15000,656,3.0,8833,2723,0,0,0,Personal Loan,Medical,22100,12.07,0.182,1.473,0.491,1
38,Employed,1.1,51546,566,7.0,5034,10013,0,1,0,Personal Loan,Medical,22700,16.23,0.194,0.44,0.147,0
35,Self-Employed,2.1,78772,601,11.0,4079,11152,0,1,0,Personal Loan,Business,54100,13.28,0.142,0.687,0.229,1
33,Employed,11.3,61216,644,3.3,377,5894,0,0,0,Personal Loan,Medical,92500,13.56,0.096,1.511,0.504,0
39,Employed,6.4,45153,703,2.4,612,17032,0,0,1,Personal Loan,Education,75900,10.88,0.377,1.681,0.56,1
18,Employed,0.0,15000,630,0.1,3,3083,0,1,0,Personal Loan,Home Improvement,5800,14.28,0.206,0.387,0.129,0
34,Employed,5.2,26957,743,7.7,8220,10988,0,0,0,Personal Loan,Education,48300,11.01,0.408,1.792,0.597,1
32,Self-Employed,7.3,25622,638,2.8,71,2670,0,0,0,Personal Loan,Education,5600,14.34,0.104,0.219,0.073,1
38,Employed,18.4,39184,684,19.5,4115,8599,0,0,0,Personal Loan,Personal,62100,11.29,0.219,1.585,0.528,1
34,Employed,0.2,57880,635,12.0,4071,9813,0,0,0,Personal Loan,Personal,53200,14.39,0.17,0.919,0.306,1
20,Employed,1.1,26435,641,0.8,18,5658,0,0,0,Personal Loan,Debt Consolidation,31300,13.1,0.214,1.184,0.395,0
24,Employed,4.8,20874,601,1.0,26,5259,0,0,0,Personal Loan,Personal,20000,14.71,0.252,0.958,0.319,1
51,Self-Employed,9.8,47304,657,25.1,2868,12139,0,0,0,Personal Loan,Medical,53200,11.05,0.257,1.125,0.375,1
28,Employed,1.4,43149,654,1.2,5764,18969,0,0,0,Personal Loan,Home Improvement,57800,12.55,0.44,1.34,0.447,0
40,Employed,18.1,66046,623,15.3,4843,7718,0,1,0,Personal Loan,Personal,100000,13.15,0.117,1.514,0.505,1
23,Employed,2.2,15177,698,3.0,11,2128,0,0,0,Personal Loan,Education,5400,12.46,0.14,0.356,0.119,1
53,Employed,15.2,132904,484,24.3,3873,31171,0,2,0,Personal Loan,Home Improvement,100000,15.95,0.235,0.752,0.251,1
25,Employed,0.5,31555,569,5.4,750,6842,0,0,0,Personal Loan,Debt Consolidation,25800,16.46,0.217,0.818,0.273,0
44,Employed,3.7,116002,612,20.6,842,39433,0,1,0,Personal Loan,Education,100000,13.93,0.34,0.862,0.287,1
38,Student,1.2,26736,596,7.6,1296,5468,0,1,1,Personal Loan,Personal,20400,15.47,0.205,0.763,0.254,0
26,Student,0.2,16409,653,7.5,550,4709,0,0,0,Personal Loan,Personal,5900,11.8,0.287,0.36,0.12,1
37,Employed,17.8,63252,584,1.0,309,22821,0,0,0,Personal Loan,Education,100000,15.47,0.361,1.581,0.527,0
26,Employed,6.7,49978,555,6.4,143,12337,0,0,0,Personal Loan,Home Improvement,87500,15.32,0.247,1.751,0.584,0
42,Employed,3.7,86164,685,10.2,4052,17429,0,0,0,Personal Loan,Personal,66700,12.94,0.202,0.774,0.258,1
46,Self-Employed,4.4,115384,812,2.6,1013,19821,0,0,0,Personal Loan,Debt Consolidation,100000,8.52,0.172,0.867,0.289,1
32,Employed,5.0,21294,638,1.1,483,4083,0,1,0,Personal Loan,Business,37700,13.01,0.192,1.77,0.59,0
25,Employed,6.9,43332,641,6.0,424,6100,0,1,0,Personal Loan,Debt Consolidation,18300,13.6,0.141,0.422,0.141,0
34,Employed,8.9,43738,614,0.3,469,19176,0,2,0,Personal Loan,Education,52900,14.16,0.438,1.209,0.403,0
35,Employed,11.7,38327,649,7.0,1588,15569,1,0,0,Personal Loan,Personal,55700,13.95,0.406,1.453,0.484,0
52,Employed,33.1,41742,650,19.6,936,13388,0,0,0,Personal Loan,Debt Consolidation,31000,11.57,0.321,0.743,0.248,1
67,Student,0.0,15841,676,1.2,443,951,1,4,0,Personal Loan,Business,30800,11.68,0.06,1.944,0.648,0
42,Employed,14.8,35161,701,6.7,428,5007,0,0,0,Personal Loan,Personal,7500,10.02,0.142,0.213,0.071,1
40,Employed,8.6,15000,619,8.9,63,2278,0,2,1,Personal Loan,Personal,2900,13.87,0.152,0.193,0.064,1
40,Self-Employed,16.4,87153,747,21.9,340,51607,0,0,0,Personal Loan,Medical,100000,9.53,0.592,1.147,0.382,0
34,Self-Employed,11.5,24398,652,4.1,1195,491,0,0,0,Personal Loan,Medical,23500,11.28,0.02,0.963,0.321,1
36,Employed,15.4,27834,631,6.2,393,3211,0,0,0,Personal Loan,Debt Consolidation,3400,13.29,0.115,0.122,0.041,1
41,Self-Employed,15.2,74102,687,11.3,1873,22073,0,1,0,Personal Loan,Business,5100,12.22,0.298,0.069,0.023,1
47,Employed,7.8,46386,653,6.7,3769,9579,0,1,0,Personal Loan,Personal,78200,11.03,0.207,1.686,0.562,1
23,Self-Employed,1.0,165877,615,4.1,3986,4810,0,1,0,Personal Loan,Home Improvement,76900,14.28,0.029,0.464,0.155,0
42,Self-Employed,12.4,49203,637,3.0,1307,11398,0,0,0,Personal Loan,Medical,9200,14.8,0.232,0.187,0.062,1
25,Employed,7.0,37286,615,4.5,683,17408,0,2,0,Personal Loan,Business,9100,14.17,0.467,0.244,0.081,0
32,Employed,6.5,38829,641,5.3,516,23885,0,1,0,Personal Loan,Debt Consolidation,35600,13.73,0.615,0.917,0.306,0
35,Self-Employed,3.2,126202,714,16.2,6166,10622,0,0,0,Personal Loan,Home Improvement,90300,10.98,0.084,0.716,0.239,1
43,Employed,0.3,78525,761,16.2,80,15963,0,0,0,Personal Loan,Business,80100,9.12,0.203,1.02,0.34,1
29,Employed,3.4,50149,558,9.6,671,34228,0,0,0,Personal Loan,Education,58700,16.9,0.683,1.171,0.39,0
35,Employed,8.4,15000,705,8.9,265,3954,0,0,0,Personal Loan,Home Improvement,13600,10.87,0.264,0.907,0.302,1
22,Employed,3.2,52767,630,0.8,261,36576,0,0,0,Personal Loan,Business,47200,13.38,0.693,0.894,0.298,0
26,Self-Employed,2.3,142171,631,4.7,149,15590,0,0,0,Personal Loan,Personal,100000,14.06,0.11,0.703,0.234,1
43,Employed,20.8,23079,685,4.6,653,11119,0,0,0,Personal Loan,Debt Consolidation,34600,12.24,0.482,1.499,0.5,0
60,Employed,15.0,56546,698,20.9,1676,7807,0,0,0,Personal Loan,Personal,31100,11.31,0.138,0.55,0.183,1
27,Employed,0.8,24370,581,1.9,101,3795,0,2,0,Personal Loan,Business,33100,16.26,0.156,1.358,0.453,0
45,Employed,0.1,122926,785,23.9,4700,25036,0,0,0,Personal Loan,Education,38600,9.74,0.204,0.314,0.105,1
33,Student,1.3,15000,657,11.4,278,3445,0,0,0,Personal Loan,Personal,7000,12.75,0.23,0.467,0.156,1
45,Employed,24.4,42377,685,25.6,7223,16640,0,0,0,Personal Loan,Personal,55300,12.41,0.393,1.305,0.435,1
27,Employed,6.8,65029,690,2.5,1039,18959,0,0,0,Personal Loan,Education,69700,11.57,0.292,1.072,0.357,1
56,Self-Employed,18.6,143949,676,13.0,1428,47565,0,0,0,Personal Loan,Home Improvement,25900,11.75,0.33,0.18,0.06,1
46,Employed,15.0,28221,572,16.6,5414,2796,0,0,1,Personal Loan,Business,52000,15.74,0.099,1.843,0.614,0
60,Employed,1.4,90611,747,5.4,357,5792,0,0,1,Personal Loan,Business,100000,10.13,0.064,1.104,0.368,0
40,Employed,9.5,103871,594,8.9,1188,26018,0,1,0,Personal Loan,Education,59500,15.47,0.25,0.573,0.191,0
23,Employed,0.2,25520,489,2.5,80,4577,0,0,1,Personal Loan,Personal,9900,15.96,0.179,0.388,0.129,0
34,Employed,11.0,45694,625,14.9,606,15783,0,1,0,Personal Loan,Home Improvement,28100,13.98,0.345,0.615,0.205,1
22,Self-Employed,1.0,20338,627,3.4,1473,10590,0,0,0,Personal Loan,Home Improvement,35500,13.91,0.521,1.746,0.582,0
35,Self-Employed,10.7,75946,602,5.4,5505,44078,0,0,0,Personal Loan,Medical,41400,14.76,0.58,0.545,0.182,0
23,Employed,1.3,20105,645,1.7,189,10943,0,0,0,Personal Loan,Debt Consolidation,4700,14.28,0.544,0.234,0.078,0
35,Employed,5.2,28097,646,7.1,1607,6975,0,0,0,Personal Loan,Personal,2800,13.94,0.248,0.1,0.033,1
60,Employed,2.8,169761,578,8.6,7396,59979,1,0,0,Personal Loan,Education,100000,15.63,0.353,0.589,0.196,0
18,Employed,0.0,57058,661,0.7,15,11797,0,0,0,Personal Loan,Personal,100000,12.49,0.207,1.753,0.584,0
42,Employed,0.0,33419,693,0.5,60,4395,0,0,0,Personal Loan,Business,64800,11.19,0.132,1.939,0.646,0
38,Employed,8.6,36542,586,7.1,1576,8128,1,0,1,Personal Loan,Business,72100,15.53,0.222,1.973,0.658,0
32,Student,1.8,19581,649,3.9,43,388,0,0,0,Personal Loan,Personal,34400,14.45,0.02,1.757,0.586,0
45,Student,0.3,59821,736,14.9,229,35486,0,0,0,Personal Loan,Medical,30700,11.12,0.593,0.513,0.171,0
42,Employed,1.7,91512,646,4.7,248,18030,0,1,0,Personal Loan,Education,83200,14.12,0.197,0.909,0.303,1
34,Employed,6.9,20804,583,15.3,789,4176,0,0,0,Personal Loan,Medical,23500,16.57,0.201,1.13,0.377,0
36,Student,0.3,18506,601,8.9,1210,4207,0,2,0,Personal Loan,Medical,21700,14.35,0.227,1.173,0.391,0
27,Employed,1.7,31047,751,3.2,1195,6737,0,0,0,Personal Loan,Home Improvement,51700,9.42,0.217,1.665,0.555,1
32,Employed,12.5,76411,693,13.1,271,13751,0,1,1,Personal Loan,Debt Consolidation,69800,11.35,0.18,0.913,0.304,1
44,Employed,20.1,80023,698,16.3,2340,34494,0,2,1,Personal Loan,Medical,38400,11.45,0.431,0.48,0.16,1
35,Self-Employed,9.5,84018,550,6.8,3146,20868,0,0,0,Personal Loan,Home Improvement,81700,15.58,0.248,0.972,0.324,1
38,Employed,7.5,34372,571,6.4,261,12911,0,2,1,Personal Loan,Medical,36400,16.53,0.376,1.059,0.353,0
33,Employed,4.0,15000,655,8.2,30,9548,0,0,0,Personal Loan,Education,7500,13.0,0.637,0.5,0.167,0
25,Self-Employed,1.5,59256,536,4.2,4911,20812,0,1,0,Personal Loan,Business,13500,15.23,0.351,0.228,0.076,0
22,Employed,2.2,33678,564,2.1,789,9662,0,3,1,Personal Loan,Education,26300,15.89,0.287,0.781,0.26,0
42,Employed,7.2,59354,713,21.0,17555,19148,0,0,0,Personal Loan,Home Improvement,66200,10.14,0.323,1.115,0.372,1
31,Employed,7.4,58096,620,0.2,24,6654,0,0,0,Personal Loan,Education,50400,13.24,0.115,0.868,0.289,1
39,Student,0.4,15000,707,9.3,142,8956,0,0,0,Personal Loan,Personal,4700,10.97,0.597,0.313,0.104,0
28,Employed,5.7,39309,701,8.3,1655,6973,0,0,0,Personal Loan,Medical,47000,10.22,0.177,1.196,0.399,1
28,Self-Employed,3.0,59261,555,5.5,73,15226,0,0,0,Personal Loan,Home Improvement,7000,15.07,0.257,0.118,0.039,0
29,Employed,3.6,21224,773,11.0,188,6315,0,0,0,Personal Loan,Personal,16300,8.95,0.298,0.768,0.256,1
32,Employed,0.4,24321,673,2.9,1636,12763,0,2,0,Personal Loan,Education,1600,11.87,0.525,0.066,0.022,0
45,Self-Employed,15.5,76555,631,3.5,402,38166,0,1,1,Personal Loan,Business,100000,15.0,0.499,1.306,0.435,0
34,Self-Employed,1.9,111424,594,1.7,309,49724,0,0,0,Personal Loan,Personal,100000,16.49,0.446,0.897,0.299,0
38,Student,1.5,31189,587,18.6,442,11582,0,0,0,Personal Loan,Personal,29600,16.44,0.371,0.949,0.316,0
53,Employed,20.2,61403,724,2.6,24,12891,0,0,0,Personal Loan,Personal,44100,10.92,0.21,0.718,0.239,1
35,Employed,4.9,49580,596,9.0,120,13709,0,0,0,Personal Loan,Medical,64700,16.33,0.277,1.305,0.435,0
35,Employed,8.2,28224,679,15.4,4637,6756,0,1,0,Personal Loan,Personal,50900,12.83,0.239,1.803,0.601,1
40,Employed,3.5,66002,613,17.5,1683,18247,0,1,0,Personal Loan,Personal,100000,14.61,0.276,1.515,0.505,1
52,Employed,9.6,61681,721,11.4,9322,19616,0,0,0,Personal Loan,Home Improvement,22400,11.16,0.318,0.363,0.121,1
46,Student,0.4,18148,597,23.5,213,10104,0,2,0,Personal Loan,Personal,27000,15.6,0.557,1.488,0.496,0
60,Employed,14.4,31759,626,17.2,7483,3205,0,0,0,Personal Loan,Education,27500,13.96,0.101,0.866,0.289,1
24,Student,0.6,21098,707,5.3,572,2528,0,0,0,Personal Loan,Home Improvement,26500,10.88,0.12,1.256,0.419,1
36,Employed,10.6,33379,734,7.3,15589,6567,0,0,0,Personal Loan,Business,64700,11.32,0.197,1.938,0.646,1
40,Employed,2.9,66334,650,15.1,907,16353,0,0,0,Personal Loan,Medical,6500,11.54,0.247,0.098,0.033,1
49,Employed,15.9,40885,819,15.6,65,5733,0,0,0,Personal Loan,Home Improvement,78200,9.25,0.14,1.913,0.638,1
18,Self-Employed,1.0,54344,578,0.1,33,3102,1,3,0,Personal Loan,Business,69900,15.07,0.057,1.286,0.429,0
49,Employed,3.6,46401,759,28.9,11946,5256,0,0,0,Personal Loan,Medical,80000,8.36,0.113,1.724,0.575,1
35,Employed,11.2,38903,569,6.0,65,6142,0,1,0,Personal Loan,Business,60200,15.66,0.158,1.547,0.516,0
29,Employed,8.8,22220,585,6.8,4261,2985,0,4,0,Personal Loan,Medical,22900,16.14,0.134,1.031,0.344,0
22,Self-Employed,1.0,71922,569,3.2,501,20413,0,1,1,Personal Loan,Debt Consolidation,46000,16.06,0.284,0.64,0.213,0
36,Employed,3.4,26914,667,5.2,1735,12545,0,1,0,Personal Loan,Education,26200,11.59,0.466,0.973,0.324,1
21,Student,0.1,16228,582,0.7,36,4189,0,0,0,Personal Loan,Education,4200,16.74,0.258,0.259,0.086,1
36,Employed,9.7,66950,563,6.5,1372,4847,0,2,0,Personal Loan,Personal,64700,16.71,0.072,0.966,0.322,1
35,Employed,11.3,70753,676,4.4,10360,28077,0,1,0,Personal Loan,Personal,100000,11.86,0.397,1.413,0.471,0
54,Self-Employed,23.6,149298,692,21.4,1589,83657,0,1,0,Personal Loan,Business,83500,11.73,0.56,0.559,0.186,0
19,Employed,0.6,22826,706,1.3,290,6365,0,0,0,Personal Loan,Medical,20000,10.02,0.279,0.876,0.292,1
28,Employed,9.7,39516,632,9.9,216,5622,0,1,0,Personal Loan,Personal,33700,13.44,0.142,0.853,0.284,1
46,Employed,16.0,70508,699,21.9,1698,27418,0,0,0,Personal Loan,Personal,54500,12.31,0.389,0.773,0.258,1
23,Employed,0.8,23291,439,3.8,69,11373,1,3,1,Personal Loan,Education,15400,15.99,0.488,0.661,0.22,0
41,Employed,3.8,49015,635,9.9,4754,13508,0,0,0,Personal Loan,Education,37700,13.49,0.276,0.769,0.256,1
28,Student,1.3,17167,551,0.7,57,2680,1,0,0,Personal Loan,Debt Consolidation,5800,16.17,0.156,0.338,0.113,0
37,Employed,13.6,25909,538,16.7,2053,1955,0,0,0,Personal Loan,Education,25800,15.51,0.075,0.996,0.332,1
44,Self-Employed,20.7,83859,656,21.2,8511,37064,0,0,0,Personal Loan,Home Improvement,44000,11.04,0.442,0.525,0.175,1
18,Self-Employed,1.0,76480,555,1.5,745,13948,0,0,0,Personal Loan,Education,11200,15.59,0.182,0.146,0.049,1
32,Employed,2.1,40369,714,0.2,3,11603,0,0,0,Personal Loan,Personal,7400,11.39,0.287,0.183,0.061,1
41,Employed,4.7,66470,698,16.2,1298,30376,0,1,0,Personal Loan,Personal,64200,12.37,0.457,0.966,0.322,1
38,Self-Employed,3.7,41481,688,0.8,9,2234,0,0,0,Personal Loan,Business,28600,11.31,0.054,0.689,0.23,1
70,Employed,37.6,79902,720,17.0,472,19746,1,1,0,Personal Loan,Education,100000,11.01,0.247,1.252,0.417,0
18,Employed,0.0,45911,580,0.5,29,10080,0,1,1,Personal Loan,Business,91800,16.45,0.22,2.0,0.667,0
22,Employed,0.7,26471,681,0.9,174,2116,0,0,0,Personal Loan,Medical,19500,11.25,0.08,0.737,0.246,1
55,Employed,19.0,42029,764,23.9,1000,11843,0,0,0,Personal Loan,Business,25300,9.5,0.282,0.602,0.201,1
18,Student,2.0,28002,577,0.8,13,19862,0,0,0,Personal Loan,Education,2000,16.86,0.709,0.071,0.024,0
41,Student,0.0,30583,720,15.1,14630,13925,0,0,0,Personal Loan,Home Improvement,50000,10.32,0.455,1.635,0.545,0
24,Employed,2.7,15000,643,2.0,100,4284,0,0,0,Personal Loan,Medical,19500,13.85,0.286,1.3,0.433,0
35,Employed,2.6,68025,609,13.3,127,27629,0,0,0,Personal Loan,Personal,20100,14.53,0.406,0.295,0.098,1
25,Employed,3.3,15000,737,2.8,202,8768,0,0,0,Personal Loan,Business,20100,11.1,0.585,1.34,0.447,0
34,Employed,2.4,47535,699,4.1,1645,11357,0,0,0,Personal Loan,Medical,52300,12.56,0.239,1.1,0.367,0
32,Self-Employed,3.5,169625,652,3.9,903,28909,0,0,0,Personal Loan,Personal,72800,12.59,0.17,0.429,0.143,1
24,Self-Employed,1.2,40463,572,3.1,661,10260,0,0,1,Personal Loan,Personal,45700,15.29,0.254,1.129,0.376,0
41,Employed,18.9,63099,733,12.1,936,15347,0,0,0,Personal Loan,Debt Consolidation,30300,11.24,0.243,0.48,0.16,1
23,Employed,2.6,44323,653,0.7,297,16944,0,1,0,Personal Loan,Business,52800,11.47,0.382,1.191,0.397,0
36,Employed,5.6,40702,677,14.8,1473,12785,0,0,0,Personal Loan,Business,34000,11.89,0.314,0.835,0.278,1
18,Self-Employed,1.0,64529,609,1.2,60,14504,0,1,0,Personal Loan,Medical,38400,13.6,0.225,0.595,0.198,0
18,Employed,0.0,18568,609,0.2,7,2840,0,0,0,Personal Loan,Personal,25200,14.2,0.153,1.357,0.452,0
38,Employed,9.9,38908,666,16.2,5470,5152,0,0,0,Personal Loan,Debt Consolidation,73200,12.97,0.132,1.881,0.627,1
47,Self-Employed,8.1,28915,703,26.2,519,3349,0,0,0,Personal Loan,Debt Consolidation,17100,11.02,0.116,0.591,0.197,1
41,Employed,3.4,78581,691,22.1,5311,13858,0,0,0,Personal Loan,Medical,75200,11.52,0.176,0.957,0.319,1
18,Employed,0.0,15000,592,0.1,2,3254,0,1,1,Personal Loan,Medical,17300,16.5,0.217,1.153,0.384,0
41,Employed,0.2,41264,659,5.0,236,3277,0,0,0,Personal Loan,Home Improvement,44600,11.21,0.079,1.081,0.36,1
39,Employed,4.8,46329,604,13.0,24975,26578,0,1,0,Personal Loan,Medical,55800,14.72,0.574,1.204,0.401,0
39,Employed,9.2,102845,625,18.4,3103,50029,0,1,0,Personal Loan,Medical,97400,14.41,0.486,0.947,0.316,0
29,Self-Employed,4.0,57327,619,3.6,1237,15732,0,0,0,Personal Loan,Home Improvement,63100,13.06,0.274,1.101,0.367,0
59,Employed,14.4,33472,705,1.6,48,8161,0,0,0,Personal Loan,Medical,38700,10.14,0.244,1.156,0.385,1
49,Self-Employed,11.6,24547,635,1.5,41,9095,0,0,0,Personal Loan,Personal,10900,13.26,0.371,0.444,0.148,1
18,Self-Employed,1.0,110845,540,0.1,6,14623,1,3,0,Personal Loan,Debt Consolidation,62100,15.29,0.132,0.56,0.187,0
22,Employed,1.3,20125,681,3.6,65,4961,0,0,0,Personal Loan,Business,37900,12.52,0.247,1.883,0.628,1
38,Employed,11.3,80826,695,19.4,5817,1986,0,0,0,Personal Loan,Home Improvement,100000,12.93,0.025,1.237,0.412,1
44,Employed,0.8,33163,614,22.4,3935,24378,0,1,0,Personal Loan,Education,34000,14.14,0.735,1.025,0.342,0
37,Employed,7.1,99263,630,17.3,412,15772,0,1,0,Personal Loan,Personal,52800,13.7,0.159,0.532,0.177,1
18,Employed,0.0,39557,565,1.6,61,3540,0,0,0,Personal Loan,Business,13300,16.98,0.089,0.336,0.112,0
48,Employed,17.8,33246,733,1.2,250,8901,0,0,0,Personal Loan,Business,36200,10.27,0.268,1.089,0.363,0
30,Self-Employed,5.4,97184,654,1.1,977,28572,0,0,0,Personal Loan,Home Improvement,78600,12.96,0.294,0.809,0.27,1
62,Employed,11.8,95179,578,24.2,19555,39291,0,0,0,Personal Loan,Education,82200,16.84,0.413,0.864,0.288,1
24,Employed,4.3,15960,553,2.0,37,318,0,0,0,Personal Loan,Medical,4700,15.4,0.02,0.294,0.098,1
29,Self-Employed,6.9,81803,690,2.9,219,4229,0,0,0,Personal Loan,Personal,100000,11.44,0.052,1.222,0.407,1
40,Student,1.6,30970,778,6.4,1240,9904,0,0,0,Personal Loan,Personal,3200,8.79,0.32,0.103,0.034,1
39,Employed,9.1,34267,649,9.1,195,14922,0,2,0,Personal Loan,Personal,17800,13.22,0.435,0.519,0.173,0
31,Self-Employed,1.5,83562,631,0.6,98,14414,0,0,0,Personal Loan,Home Improvement,100000,13.02,0.172,1.197,0.399,0
39,Employed,1.6,20193,677,1.1,366,176,0,1,0,Personal Loan,Education,34500,11.88,0.009,1.709,0.57,1
23,Employed,1.1,25143,542,3.1,78,13045,0,0,0,Personal Loan,Debt Consolidation,15000,16.24,0.519,0.597,0.199,0
25,Self-Employed,2.5,120262,650,1.1,229,15734,0,0,0,Personal Loan,Medical,100000,12.31,0.131,0.832,0.277,1
20,Employed,0.1,35409,593,1.6,180,11187,0,3,0,Personal Loan,Personal,26600,16.27,0.316,0.751,0.25,0
52,Self-Employed,18.2,68328,681,3.4,4391,15634,0,0,0,Personal Loan,Education,100000,12.31,0.229,1.464,0.488,1
38,Student,0.0,15000,602,18.4,2894,4209,0,1,0,Personal Loan,Home Improvement,26400,14.59,0.281,1.76,0.587,0
21,Self-Employed,1.0,50336,622,2.2,257,19085,0,1,0,Personal Loan,Business,67500,14.03,0.379,1.341,0.447,0
64,Student,0.8,20425,558,26.4,1375,1979,0,1,0,Personal Loan,Business,6200,15.47,0.097,0.304,0.101,0
36,Employed,12.0,51300,732,7.1,2697,16261,0,1,0,Personal Loan,Education,65400,9.93,0.317,1.275,0.425,1
43,Self-Employed,13.2,16646,636,23.3,16906,4989,0,3,0,Personal Loan,Education,21600,14.93,0.3,1.298,0.433,0
40,Self-Employed,4.6,36146,718,12.9,734,21142,0,0,0,Personal Loan,Education,18700,10.33,0.585,0.517,0.172,0
48,Self-Employed,2.1,39879,682,22.9,990,19959,0,0,0,Personal Loan,Personal,67000,12.51,0.5,1.68,0.56,0
18,Employed,0.0,30102,604,0.3,51,8400,0,1,0,Personal Loan,Medical,36600,13.39,0.279,1.216,0.405,0
29,Employed,5.6,69784,430,10.0,2708,9755,0,0,1,Personal Loan,Business,100000,15.03,0.14,1.433,0.478,0
44,Employed,20.5,32691,703,20.3,1293,10285,0,2,0,Personal Loan,Education,49800,11.34,0.315,1.523,0.508,1
31,Self-Employed,6.0,104029,694,11.2,2795,39655,0,0,0,Personal Loan,Education,91100,11.52,0.381,0.876,0.292,1
18,Employed,0.0,24977,584,1.5,7,5400,0,1,0,Personal Loan,Medical,25800,15.87,0.216,1.033,0.344,0
57,Employed,16.0,38301,807,23.0,2598,8990,0,0,0,Personal Loan,Home Improvement,22200,8.41,0.235,0.58,0.193,1
35,Employed,15.7,29175,588,2.9,5593,5911,0,0,0,Personal Loan,Home Improvement,54100,16.07,0.203,1.854,0.618,0
37,Employed,17.8,44151,589,5.2,672,9749,0,1,0,Personal Loan,Home Improvement,52400,15.34,0.221,1.187,0.396,0
33,Employed,13.1,23763,572,1.3,74,5943,0,2,1,Personal Loan,Personal,21800,15.08,0.25,0.917,0.306,0
28,Self-Employed,1.8,54605,616,1.8,294,13857,0,3,0,Personal Loan,Education,58900,14.34,0.254,1.079,0.36,0
